🧪 Kiosk Logic Verification Report (5-Type Robustness)
Date: 2026-01-20 15:44:19
Target: Verify if AI maps varied queries to correct 'Category Major'.
===========================================================================================================================================================
Target Product            | Type         | Query                               | Expected Major     | Actual Major       | Result
-----------------------------------------------------------------------------------------------------------------------------------------------------------
의류 신발 방수 스프레이 200 ml      | 1. Basic     | 의류 신발 방수 스프레이 200 ml 어디 있어요?        | 기타                 | 기타                 | ✅
의류 신발 방수 스프레이 200 ml      | 2. Attribute | 큰 의류 신발 방수 스프레이 200 ml 찾아요          | 기타                 | 기타                 | ✅
의류 신발 방수 스프레이 200 ml      | 3. Alias     | 의류 신발 방수 스프레이 200 ml 같은거 있어요?       | 기타                 | 기타                 | ✅
의류 신발 방수 스프레이 200 ml      | 4. Brand     | 다이소 의류 신발 방수 스프레이 200 ml 어딨죠?       | 기타                 | 기타                 | ✅
의류 신발 방수 스프레이 200 ml      | 5. Part      | 의류 신발 방수 스프레이 200 ml 리필이나 부속품 있나요?  | 기타                 | 기타                 | ✅
테니스공 의자 발 커버 대형 4개입 그레이   | 1. Basic     | 테니스공 의자 발 커버 대형 4개입 그레이 어디 있어요?     | 문구/팬시              | 문구/팬시              | ✅
테니스공 의자 발 커버 대형 4개입 그레이   | 2. Attribute | 큰 테니스공 의자 발 커버 대형 4개입 그레이 찾아요       | 문구/팬시              | 문구/팬시              | ✅
테니스공 의자 발 커버 대형 4개입 그레이   | 3. Alias     | 테니스공 의자 발 커버 대형 4개입 그레이 같은거 있어요?    | 문구/팬시              | 문구/팬시              | ✅
테니스공 의자 발 커버 대형 4개입 그레이   | 4. Brand     | 다이소 테니스공 의자 발 커버 대형 4개입 그레이 어딨죠?    | 문구/팬시              | 문구/팬시              | ✅
테니스공 의자 발 커버 대형 4개입 그레이   | 5. Part      | 테니스공 의자 발 커버 대형 4개입 그레이 리필이나 부속품 있나 | 문구/팬시              | 문구/팬시              | ✅
인센스 프리미엄 직사각 밀폐 용기 4호 580 | 1. Basic     | 인센스 프리미엄 직사각 밀폐 용기 4호 580ml 어디 있어요? | 기타                 | 수납/정리              | ❌
인센스 프리미엄 직사각 밀폐 용기 4호 580 | 2. Attribute | 큰 인센스 프리미엄 직사각 밀폐 용기 4호 580ml 찾아요   | 기타                 | 기타                 | ✅
인센스 프리미엄 직사각 밀폐 용기 4호 580 | 3. Alias     | 인센스 프리미엄 직사각 밀폐 용기 4호 580ml 같은거 있어요 | 기타                 | 수납/정리              | ❌
인센스 프리미엄 직사각 밀폐 용기 4호 580 | 4. Brand     | 다이소 인센스 프리미엄 직사각 밀폐 용기 4호 580ml 어딨죠 | 기타                 | 수납/정리              | ❌
인센스 프리미엄 직사각 밀폐 용기 4호 580 | 5. Part      | 인센스 프리미엄 직사각 밀폐 용기 4호 580ml 리필이나 부속 | 기타                 | 수납/정리              | ❌
규조토 발매트 (M)               | 1. Basic     | 규조토 발매트 (M) 어디 있어요?                 | 욕실용품               | 욕실용품               | ✅
규조토 발매트 (M)               | 2. Attribute | 큰 규조토 발매트 (M) 찾아요                   | 욕실용품               | 욕실용품               | ✅
규조토 발매트 (M)               | 3. Alias     | 규조토 발매트 (M) 같은거 있어요?                | 욕실용품               | 욕실용품               | ✅
