=== Direct Search Verification Report ===
Total Queries: 100
Execution Time: 147.41s
--------------------------------------------------
Intent Accuracy (direct_search): 99/100 (99%)
Search Success Rate (Found Items): 100/100 (100%)
==================================================

Detailed Logs:
Query                                    | Intent          | Keyword         | Found?
------------------------------------------------------------------------------------------
14포켓 섹션 파일 위치 알려줘                        | problem_solving | 14포켓 섹션 파일      | ✅
1단 데스크 서랍장 26 X 19 X 8 cm 찾아줘            | direct_search   | 데스크 서랍장         | ✅
2080 퓨어 마운틴 핑크솔트 (100 g)                 | direct_search   | 퓨어 마운틴 핑크솔트     | ✅
2080 퓨어 솔트 치약 크리스탈민트 100g 있어?            | direct_search   | 퓨어 솔트 치약        | ✅
2단 도어스토퍼 2개입 파나요?                        | direct_search   | 도어스토퍼           | ✅
2채널 유선 스피커 LED 스피커 재고 있어?                | direct_search   | 2채널 유선 스피커      | ✅
3M 스카치 다용도 리필 테이프 12mmX21m 2개입 찾아줘       | direct_search   | 다용도 리필 테이프      | ✅
다이소 3M 스카치 다용도 테이프 디스펜서 12mmX21m 있어?     | direct_search   | 다용도 테이프 디스펜서    | ✅
3M 스카치 박스테이프 투명 40m 구매하고 싶어              | direct_search   | 박스테이프           | ✅
3단 자동 우산 (블랙) 찾아줘                        | direct_search   | 3단 자동 우산        | ✅
3색 초저점도 볼펜 0.7mm 2P 있어?                  | direct_search   | 볼펜              | ✅
3중 청소용 스펀지 2P 재고 있어?                     | direct_search   | 청소용 스펀지         | ✅
3칸 투명 책꽂이 블랙 어디에 있어?                     | direct_search   | 책꽂이             | ✅
4스텝 일회용 샤워세트 5mX4매입 있어?                  | direct_search   | 샤워세트            | ✅
9구 다용도 보관케이스 어디에 있어?                     | direct_search   | 9구 다용도 보관케이스    | ✅
A4 카드 케이스 구매하고 싶어                        | direct_search   | 카드 케이스          | ✅
A5 바인더 루즈 리프 노트 퍼플 구매하고 싶어               | direct_search   | A5 바인더 루즈 리프 노트 | ✅
AHC 에이지리뉴 듀얼 텐션 마스크 타이트닝 1매 28 g 어디에 있어? | direct_search   | 에이지리뉴 듀얼 텐션 마스크 | ✅
AHC 에이지리뉴 아이크림 링클 30 ml 있어?              | direct_search   | 아이크림            | ✅
