keyword;expanded_keywords;expanded_count;latency_ms;total_tokens;prompt_tokens;completion_tokens;error
머리카락 정리 도구;"머리카락 정리 도구; 머리카락; 정리 도구; 도구; 미용; 헤어; 정돈";7;2664.8;413;361;52;
반찬통;"반찬통; 주방; 통; 주방용품; 밀폐용기; 보관용기";6;972.98;397;358;39;
아기용품;"아기용품; 아기; 유아용품; 육아; 신생아";5;963.4;384;359;25;
신발 주머니;"신발 주머니; 신발; 주머니; 가방; 정리; 수납";6;954.91;400;359;41;
냄비선반;"냄비선반; 주방; 선반; 주방용품; 정리; 수납";6;950.91;403;360;43;
섬유유연제;"섬유유연제; 세탁; 유연제; 세탁용품; 향기; 정전기 방지";6;949.01;408;360;48;
냄새 방지 용품;"냄새 방지 용품; 냄새; 방지 용품; 생활용품; 탈취; 악취 제거";6;955.52;403;362;41;
박스테이프;"박스테이프; 테이프; 사무용품; 포장; 접착";5;958.1;397;359;38;
전선정리;"전선정리; 전선; 정리; 디지털; 핸드폰용품; 정리용품";6;1049.48;405;359;46;
양치컵;"양치컵; 욕실; 컵; 욕실용품; 칫솔; 정리";6;858.32;393;358;35;
층간소음 방지 패드;"층간소음 방지 패드; 층간소음; 방지 패드; 패드; 생활용품; 미끄럼방지; 소음방지";7;961.77;408;364;44;
여행용 치약 칫솔 세트;"여행용 치약 칫솔 세트; 여행; 치약 칫솔 세트; 세트; 여행용품; 위생용품; 휴대용";7;958.28;407;364;43;
신발건조대;"신발건조대; 신발; 건조대; 생활용품; 신발정리";5;1060.95;400;360;40;
와인 마개;"와인 마개; 와인; 마개; 주방용품; 밀봉";5;964.5;391;359;32;
립밤;"립밤; 입술; 밤; 화장품; 보습";5;957.22;391;358;33;
베개 솜;"베개 솜; 베개; 솜; 침구; 수면; 침실";6;1053.54;399;359;40;
종이컵;"종이컵; 주방; 컵; 주방용품; 일회용품";5;873.78;390;358;32;
종이 쇼핑백;"종이 쇼핑백; 쇼핑백; 가방; 포장용품; 종이";5;963.17;399;360;39;
공병;"공병; 화장품; 병; 미용; 여행용; 휴대용";6;957.93;397;357;40;
컵받침;"컵받침; 컵; 받침; 주방용품; 식기";5;855.4;389;359;30;
부탄가스;"부탄가스; 가스; 캠핑; 연료; 조리기구";5;960.62;395;359;36;
양면테이프;"양면테이프; 테이프; 접착; 문구; 사무용품; 접착제; 고정";7;1050.57;412;360;52;
김서림 방지 거울;"김서림 방지 거울; 거울; 욕실; 욕실용품; 김서림방지";5;949.85;400;362;38;
방충망 스티커;"방충망 스티커; 방충망; 스티커; 생활용품; 벌레차단; 간편한 부착";6;967.34;405;361;44;
샤워기 헤드;"샤워기 헤드; 샤워기; 헤드; 욕실용품; 샤워";5;958.71;394;360;34;
모서리 보호대;"모서리 보호대; 모서리; 보호대; 안전용품; 가구; 보호";6;965.91;406;360;46;
유리테이프;"유리테이프; 테이프; 문구; 접착; 포장";5;947.64;396;359;37;
여행용품;"여행용품; 여행; 용품; 여행용품";4;761.12;375;358;17;
헤어밴드;"헤어밴드; 헤어; 밴드; 액세서리; 미용; 머리띠";6;1054.02;403;359;44;
상토;"상토; 원예; 흙; 정원용품; 배양토";5;952.31;392;357;35;
싱크대 배수구 거름망;"싱크대 배수구 거름망; 싱크대; 거름망; 주방용품; 배수구; 필터";6;949.61;409;364;45;
