keyword;expanded_keywords;expanded_count;latency_ms;total_tokens;prompt_tokens;completion_tokens;error
세탁망;"세탁 주머니; 세탁백; 세탁 용품; 의류 세탁망; 세탁기용 세탁망; 속옷 세탁망; 세탁 보호망; 포켓 세탁망; 소형 세탁망";9;2547.45;179;100;79;
빨래 건조대;"세탁물 건조대; 접이식 건조대; 실내용 건조대; 야외 건조대; 옷걸이; 건조대 액세서리; 틈새 건조대; 아기 빨래 건조대; 방사형 건조대";9;2606.94;190;102;88;
여행용 치약 칫솔 세트;"travel toothpaste; travel toothbrush set; portable dental kit; travel hygiene kit; mini toothpaste; compact toothbrush; travel-friendly toiletries; toothbrush case; dental travel essentials; personal care travel set";10;2717.75;175;106;69;
얼룩 제거 펜;"얼룩 제거제; 얼룩 제거 스프레이; 세탁용 얼룩 제거; 세탁용 펜; 얼룩 지우개; 오염 제거 도구; 소독용 얼룩 제거; 가정용 청소 용품; 다목적 클리너; 스테인 리무버";10;3132.51;203;103;100;
가죽 가방 닦는 크림;"가죽 클리너; 가죽 가방 세척제; 가죽 관리 크림; 가죽 용품; 가죽 보호제; 가죽 가방 유지 관리; 가죽 코팅; 가죽 리페어 크림; 가죽 크림; 가죽 세정제";10;1992.16;196;106;90;
립밤;"립밤; 립 스크럽; 립 케어; 보습 립밤; 틴트 립밤; 유기농 립밤; 매트 립밤; 색상 립밤; 립글로스";9;2380.48;176;100;76;
미끄럼 방지 패드;"슬립 방지 패드; 테이블 매트; 마룻바닥 보호 패드; 미끄럼 방지 매트; 주방 매트; 가구 패드; 안전 패드; 미끄럼 방지 액세서리; 배스 매트; 카펫 그립 패드";10;2174.04;200;104;96;
손톱 정리 세트;"네일 케어 세트; 손톱 관리 도구; 네일 트리밍 키트; 손톱 정리 도구; 네일 파일; 손톱 깎기; 큐티클 제거기; 네일 세트; 손톱 대칭 도구; 네일 아트 도구";10;2402.36;201;104;97;
파우치;"지갑; 가방 용기; 화장품 파우치; 여행 파우치; 소품 케이스; 정리함; 펜 케이스; 작은 가방; 필통; 기념품 파우치";10;2268.71;181;100;81;
벽지낙서제거제;"벽지 청소 용품; 낙서 지우개; 벽지 세정제; 스프레이 세정제; 오염제거제; 깨끗한 벽지; 가정용 청소 용품; 벽지 보수 키트; 다용도 세정제; 표면 클리너";10;2475.08;204;106;98;
문닫힘 방지 쿠션;"문 충격 방지; 문 고정 패드; 방지 쿠션; 문 막이; 소음 감소 쿠션; 문 끝 보호; 문 손상 방지; 가정용 문 보호; 쉬운 설치 쿠션; 생활용품";10;2830.83;186;104;82;
덧버선;"양말; 스포츠 양말; 여름 양말; 신발 안감; 발목 양말; 패션 양말; 고급 양말; 실내 양말; 여성 양말; 남성 양말";10;1740.12;178;101;77;
분무기;"스프레이기; 물 분사기; 식물 분무기; 가정용 분무기; 항균 스프레이; 분사기; 미스트 스프레이; 정원 용품; 실내 식물 관리; 분무기 세트";10;2274.68;185;100;85;
