Q: 샤프심만 따로 파나요? -> Keyword: 샤프심 (Latency: 1.218s, Tokens: [P:3078, C:29, T:3107])
Q: 볼펜 다 썼는데 심만 갈아낄 수 있어요? -> Keyword: 볼펜심 (Latency: 0.867s, Tokens: [P:3084, C:22, T:3106])
Q: 커터칼 날만 리필용으로 어디 있나요? -> Keyword: 칼날 (Latency: 0.970s, Tokens: [P:3083, C:26, T:3109])
Q: 스테이플러 심 다 떨어졌는데 어디 있어요? -> Keyword: 스테이플러심 (Latency: 0.868s, Tokens: [P:3082, C:29, T:3111])
Q: 테이프 커터기는 있는데 리필 테이프만 필요해요. -> Keyword: OPP테이프 (Latency: 0.954s, Tokens: [P:3086, C:26, T:3112])
Q: 수정테이프 리필은 어디에 있나요? -> Keyword: 수정테이프 (Latency: 0.848s, Tokens: [P:3083, C:23, T:3106])
Q: 글루건 심만 따로 묶어서 파나요? -> Keyword: 정리함 (Latency: 0.968s, Tokens: [P:3082, C:23, T:3105])
Q: 화이트 보드 지우개 패드만 교체할 수 있어요? -> Keyword: 화이트보드지우개 (Latency: 0.954s, Tokens: [P:3086, C:35, T:3121])
Q: 만년필 잉크 카트리지 어디 있어요? -> Keyword: 잉크카트리지 (Latency: 0.962s, Tokens: [P:3082, C:27, T:3109])
Q: 프린터 잉크 충전하는 키트 있나요? -> Keyword: 프린터잉크 (Latency: 0.964s, Tokens: [P:3084, C:23, T:3107])
Q: 다이어리 속지 리필용 찾고 있어요. -> Keyword: 다이어리속지 (Latency: 0.944s, Tokens: [P:3082, C:27, T:3109])
Q: 바인더 링만 따로 구할 수 있나요? -> Keyword: 바인더링 (Latency: 0.950s, Tokens: [P:3081, C:26, T:3107])
Q: 연필 깍지 짧아진 거 끼우는 거 어디 있어요? -> Keyword: 연필캡 (Latency: 1.036s, Tokens: [P:3086, C:32, T:3118])
Q: 지우개 리필 되는 샤프 있나요? -> Keyword: 샤프 (Latency: 0.953s, Tokens: [P:3081, C:21, T:3102])
Q: 스탬프 잉크만 따로 파나요? -> Keyword: 스탬프패드 (Latency: 0.958s, Tokens: [P:3081, C:29, T:3110])
Q: 마스킹 테이프 보관하는 커팅기 칼날만 교체 돼요? -> Keyword: 테이프커터기 (Latency: 1.056s, Tokens: [P:3089, C:33, T:3122])
Q: 큐브 포스트잇 리필용만 따로 있나요? -> Keyword: 메모지 (Latency: 0.953s, Tokens: [P:3083, C:23, T:3106])
Q: 파일철 비닐 속지만 더 살 수 있어요? -> Keyword: 파일철속지 (Latency: 1.228s, Tokens: [P:3081, C:30, T:3111])
Q: 명찰 케이스 줄만 따로 파나요? -> Keyword: 명찰줄 (Latency: 0.865s, Tokens: [P:3080, C:26, T:3106])
Q: 화분 받침대 바퀴만 따로 있나요? -> Keyword: DIY바퀴 (Latency: 1.148s, Tokens: [P:3082, C:27, T:3109])
Q: 분무기 헤드 부분만 교체하고 싶어요. -> Keyword: 분무기헤드 (Latency: 0.960s, Tokens: [P:3083, C:31, T:3114])
Q: 물조리개 앞부분 물 나오는 곳만 따로 파나요? -> Keyword: 물조리개헤드 (Latency: 0.960s, Tokens: [P:3084, C:25, T:3109])
Q: 삽 자루 부러졌는데 자루만 갈 수 있어요? -> Keyword: 삽자루 (Latency: 0.986s, Tokens: [P:3084, C:25, T:3109])
Q: 호스 연결하는 커넥터 부품 어디 있어요? -> Keyword: 호스연결구 (Latency: 0.885s, Tokens: [P:3082, C:24, T:3106])
Q: 전지가위 스프링 빠졌는데 부품 있나요? -> Keyword: 전지가위 (Latency: 0.884s, Tokens: [P:3083, C:26, T:3109])
Q: 옷걸이 집게 부분만 따로 파는 거 있어요? -> Keyword: 옷걸이집게 (Latency: 0.885s, Tokens: [P:3083, C:31, T:3114])
Q: 빨래 건조대 날개 부품만 따로 살 수 있나요? -> Keyword: 빨래건조대부품 (Latency: 0.868s, Tokens: [P:3086, C:35, T:3121])
Q: 다리미판 커버만 교체용으로 나오나요? -> Keyword: 다리미판커버 (Latency: 1.056s, Tokens: [P:3084, C:30, T:3114])
Q: 세탁망 지퍼 손잡이 고장 났는데 고치는 거 있나요? -> Keyword: 옷핀 (Latency: 0.970s, Tokens: [P:3089, C:39, T:3128])
Q: 행거 바퀴 빠졌는데 맞는 거 있을까요? -> Keyword: 행거바퀴 (Latency: 1.058s, Tokens: [P:3082, C:33, T:3115])
Q: 서랍장 손잡이만 예쁜 걸로 바꾸고 싶어요. -> Keyword: 서랍손잡이 (Latency: 0.967s, Tokens: [P:3086, C:32, T:3118])
Q: 의자 발 커버 씌우는 거 말고 끼우는 부품 있어요? -> Keyword: 의자발커버 (Latency: 1.050s, Tokens: [P:3088, C:44, T:3132])
Q: 선반 높이 조절하는 나사 부품 어디 있나요? -> Keyword: 선반부품 (Latency: 0.903s, Tokens: [P:3085, C:31, T:3116])
Q: 멀티탭 덮개만 따로 파나요? -> Keyword: 멀티탭커버 (Latency: 0.969s, Tokens: [P:3081, C:36, T:3117])
Q: 형광등 스타터 전구 어디 있어요? -> Keyword: 형광등스타터 (Latency: 0.880s, Tokens: [P:3080, C:26, T:3106])
Q: LED 등 리모컨만 잃어버렸는데 따로 파나요? -> Keyword: 조명리모컨 (Latency: 0.954s, Tokens: [P:3086, C:28, T:3114])
Q: 스위치 커버만 바꾸고 싶은데 있나요? -> Keyword: 스위치커버 (Latency: 1.072s, Tokens: [P:3083, C:44, T:3127])
Q: 문 손잡이 부속품 중에 잠금장치만 필요해요. -> Keyword: 문고리 잠금장치 (Latency: 0.860s, Tokens: [P:3086, C:30, T:3116])
Q: 경첩 나사 헐거워서 바꾸려는데 나사만 있어요? -> Keyword: 나사못 (Latency: 0.851s, Tokens: [P:3086, C:26, T:3112])
Q: 창문 방충망 롤러 부품 어디 있나요? -> Keyword: 방충망부자재 (Latency: 0.959s, Tokens: [P:3084, C:32, T:3116])
Q: 싱크대 배수구 뚜껑만 잃어버렸어요. -> Keyword: 배수구덮개 (Latency: 0.857s, Tokens: [P:3087, C:35, T:3122])
Q: 음식물 쓰레기통 거름망만 따로 파나요? -> Keyword: 음식물쓰레기거름망 (Latency: 0.936s, Tokens: [P:3085, C:34, T:3119])
Q: 주방세제 펌프 머리 부분만 고장 나서요. -> Keyword: 펌프헤드 (Latency: 0.869s, Tokens: [P:3086, C:27, T:3113])
Q: 고무장갑 속에 끼는 면장갑만 따로 있나요? -> Keyword: 면장갑 (Latency: 1.046s, Tokens: [P:3085, C:28, T:3113])
Q: 프라이팬 뚜껑 손잡이 나사만 구할 수 있을까요? -> Keyword: 냄비손잡이 (Latency: 0.859s, Tokens: [P:3087, C:26, T:3113])
Q: 냄비 손잡이 뜨거워서 끼우는 실리콘만 있어요? -> Keyword: 실리콘손잡이 (Latency: 0.848s, Tokens: [P:3087, C:24, T:3111])
Q: 밀폐용기 고무 패킹만 따로 파나요? -> Keyword: 밀폐용기패킹 (Latency: 0.972s, Tokens: [P:3083, C:31, T:3114])
Q: 보온병 뚜껑 고무링 잃어버렸는데 있나요? -> Keyword: 보온병패킹 (Latency: 0.868s, Tokens: [P:3088, C:27, T:3115])
Q: 물병 빨대 부분만 리필로 나오나요? -> Keyword: 물병빨대 (Latency: 0.858s, Tokens: [P:3082, C:24, T:3106])
Q: 텀블러 바닥에 끼우는 고무만 따로 있어요? -> Keyword: 텀블러받침 (Latency: 0.957s, Tokens: [P:3085, C:40, T:3125])
Q: 와인 오프너 스크류 부분만 따로 있나요? -> Keyword: 와인오프너 (Latency: 0.876s, Tokens: [P:3084, C:29, T:3113])
Q: 칼 갈이 숫돌만 교체할 수 있나요? -> Keyword: 칼갈이 (Latency: 1.054s, Tokens: [P:3083, C:30, T:3113])
Q: 도마 거치대 물기 받침대만 따로 파나요? -> Keyword: 도마거치대 (Latency: 0.967s, Tokens: [P:3085, C:30, T:3115])
Q: 일회용 수세미 다 썼는데 리필만 주세요. -> Keyword: 수세미리필 (Latency: 0.945s, Tokens: [P:3085, C:29, T:3114])
Q: 정수기 필터 교체용 어디 있나요? -> Keyword: 정수기필터 (Latency: 0.953s, Tokens: [P:3082, C:28, T:3110])
Q: 커피 그라인더 손잡이만 따로 구할 수 있어요? -> Keyword:  (Latency: 0.933s, Tokens: [P:3084, C:43, T:3127])
Q: 욕실 슬리퍼 바닥만 닳았는데 밑창만 붙이는 거 있나요? -> Keyword: 미끄럼방지패드 (Latency: 1.062s, Tokens: [P:3091, C:40, T:3131])
Q: 샤워기 줄 말고 헤드만 따로 파나요? -> Keyword: 샤워기헤드 (Latency: 0.872s, Tokens: [P:3082, C:30, T:3112])
Q: 변기 솔 머리만 교체해서 쓰고 싶은데요. -> Keyword: 변기솔헤드 (Latency: 1.065s, Tokens: [P:3083, C:45, T:3128])
Q: 칫솔 걸이 흡착판만 자꾸 떨어져서 그것만 사고 싶어요. -> Keyword: 흡착판 (Latency: 0.959s, Tokens: [P:3089, C:35, T:3124])
Q: 비누 받침대 물 빠지는 구멍 마개만 있나요? -> Keyword: 비누받침 (Latency: 0.961s, Tokens: [P:3086, C:38, T:3124])
Q: 휴지 걸이 봉만 잃어버렸는데 따로 파나요? -> Keyword: 휴지걸이 (Latency: 0.948s, Tokens: [P:3086, C:26, T:3112])
Q: 수건 걸이 나사 없이 붙이는 스티커만 리필 있나요? -> Keyword: 흡착후크 (Latency: 0.960s, Tokens: [P:3088, C:25, T:3113])
Q: 욕조 배수구 마개만 따로 어디 있어요? -> Keyword: 욕조마개 (Latency: 0.973s, Tokens: [P:3082, C:33, T:3115])
Q: 세면대 팝업 뚜껑만 교체하고 싶어요. -> Keyword: 세면대팝업 (Latency: 0.864s, Tokens: [P:3086, C:26, T:3112])
Q: 샴푸 디스펜서 펌프만 따로 파는 거 있나요? -> Keyword: 샴푸디스펜서 (Latency: 1.062s, Tokens: [P:3087, C:44, T:3131])
Q: 면도기 날만 리필용으로 어디 있나요? -> Keyword: 면도날 (Latency: 0.876s, Tokens: [P:3083, C:27, T:3110])
Q: 전동 칫솔 모만 교체용으로 있나요? -> Keyword: 칫솔모 (Latency: 0.905s, Tokens: [P:3084, C:25, T:3109])
Q: 화장솜 케이스 뚜껑만 깨졌는데 뚜껑만 파나요? -> Keyword: 화장솜케이스 (Latency: 0.970s, Tokens: [P:3089, C:26, T:3115])
Q: 쿠션 퍼프만 따로 여러 개 묶어 파나요? -> Keyword: 쿠션퍼프 (Latency: 1.064s, Tokens: [P:3084, C:42, T:3126])
Q: 뷰러 고무 패킹만 리필 있나요? -> Keyword: 뷰러리필 (Latency: 0.866s, Tokens: [P:3082, C:28, T:3110])
Q: 아이라이너 붓 끝만 갈아 끼울 수 있나요? -> Keyword: 아이라이너팁 (Latency: 0.970s, Tokens: [P:3085, C:35, T:3120])
Q: 립스틱 공병만 따로 파는 거 있어요? -> Keyword: 립스틱공병 (Latency: 0.967s, Tokens: [P:3082, C:31, T:3113])
Q: 헤어 드라이어 앞주둥이 부품만 잃어버렸어요. -> Keyword: 드라이기부품 (Latency: 0.956s, Tokens: [P:3089, C:29, T:3118])
Q: 고데기 열 판 보호하는 캡만 따로 있나요? -> Keyword: 고데기캡 (Latency: 0.874s, Tokens: [P:3084, C:31, T:3115])
Q: 머리빗 솔 부분 빠졌는데 끼우는 거 있나요? -> Keyword: 순간접착제 (Latency: 0.941s, Tokens: [P:3085, C:32, T:3117])
Q: 네일 리무버 펌프 용기 펌프만 필요해요. -> Keyword: 펌프용기 (Latency: 0.880s, Tokens: [P:3087, C:27, T:3114])
