Q: 샤프심만 따로 파나요? -> Keyword: 대용도매트 (Latency: 18.621s, Tokens: [P:3271, C:27, T:3298])
Q: 볼펜 다 썼는데 심만 갈아낄 수 있어요? -> Keyword: 스마트.pen (Latency: 9.069s, Tokens: [P:3279, C:347, T:3626])
Q: 커터칼 날만 리필용으로 어디 있나요? -> Keyword:  (Latency: 42.581s, Tokens: [P:3276, C:2058, T:5334])
Q: 스테이플러 심 다 떨어졌는데 어디 있어요? -> Keyword:  (Latency: 7.290s, Tokens: [P:3275, C:176, T:3451])
Q: 테이프 커터기는 있는데 리필 테이프만 필요해요. -> Keyword: <One Standard Keyword> (Latency: 23.241s, Tokens: [P:3278, C:1065, T:4343])
Q: 수정테이프 리필은 어디에 있나요? -> Keyword: <One Standard Keyword> (Latency: 32.592s, Tokens: [P:3275, C:1480, T:4755])
Q: 글루건 심만 따로 묶어서 파나요? -> Keyword: 자동디스펜서 (Latency: 4.475s, Tokens: [P:3275, C:33, T:3308])
Q: 화이트 보드 지우개 패드만 교체할 수 있어요? -> Keyword:  (Latency: 4.404s, Tokens: [P:3279, C:105, T:3384])
Q: 만년필 잉크 카트리지 어디 있어요? -> Keyword: 약통 (Latency: 21.602s, Tokens: [P:3275, C:990, T:4265])
Q: 프린터 잉크 충전하는 키트 있나요? -> Keyword:  (Latency: 12.546s, Tokens: [P:3276, C:444, T:3720])
Q: 다이어리 속지 리필용 찾고 있어요. -> Keyword: <One Standard Keyword> (Latency: 24.020s, Tokens: [P:3275, C:1112, T:4387])
Q: 바인더 링만 따로 구할 수 있나요? -> Keyword: barinder ring (Latency: 33.529s, Tokens: [P:3275, C:390, T:3665])
Q: 연필 깍지 짧아진 거 끼우는 거 어디 있어요? -> Keyword: автом드ディ스펜서 (Latency: 16.445s, Tokens: [P:3281, C:389, T:3670])
Q: 지우개 리필 되는 샤프 있나요? -> Keyword: <One Standard Keyword> (Latency: 53.171s, Tokens: [P:3273, C:1210, T:4483])
Q: 스탬프 잉크만 따로 파나요? -> Keyword:  (Latency: 6.226s, Tokens: [P:3275, C:84, T:3359])
Q: 마스킹 테이프 보관하는 커팅기 칼날만 교체 돼요? -> Keyword: <One Standard Keyword> (Latency: 16.407s, Tokens: [P:3285, C:743, T:4028])
Q: 큐브 포스트잇 리필용만 따로 있나요? -> Keyword: 분리함 (Latency: 7.135s, Tokens: [P:3278, C:263, T:3541])
Q: 파일철 비닐 속지만 더 살 수 있어요? -> Keyword: **미끄럼방지매트** (Latency: 4.099s, Tokens: [P:3275, C:82, T:3357])
Q: 명찰 케이스 줄만 따로 파나요? -> Keyword:  (Latency: 28.789s, Tokens: [P:3273, C:182, T:3455])
Q: 화분 받침대 바퀴만 따로 있나요? -> Keyword: 분할케이스 (Latency: 29.585s, Tokens: [P:3276, C:241, T:3517])
Q: 분무기 헤드 부분만 교체하고 싶어요. -> Keyword: 방수파우치 (Latency: 5.646s, Tokens: [P:3275, C:178, T:3453])
Q: 물조리개 앞부분 물 나오는 곳만 따로 파나요? -> Keyword: 칸막이함 (Latency: 140.940s, Tokens: [P:3278, C:29, T:3307])
Q: 삽 자루 부러졌는데 자루만 갈 수 있어요? -> Keyword: 배수구덮개 (Latency: 27.956s, Tokens: [P:3278, C:32, T:3310])
Q: 호스 연결하는 커넥터 부품 어디 있어요? -> Keyword:  (Latency: 10.972s, Tokens: [P:3276, C:17, T:3293])
Q: 전지가위 스프링 빠졌는데 부품 있나요? -> Keyword: ** 미끄럼방지매트 (Latency: 17.364s, Tokens: [P:3276, C:108, T:3384])
Q: 옷걸이 집게 부분만 따로 파는 거 있어요? -> Keyword: ** 수납함 (Latency: 409.066s, Tokens: [P:3278, C:33, T:3311])
Q: 빨래 건조대 날개 부품만 따로 살 수 있나요? -> Keyword: <One Standard Keyword> (Latency: 31.707s, Tokens: [P:3280, C:917, T:4197])
Q: 다리미판 커버만 교체용으로 나오나요? -> Keyword: millosecuring gel (Latency: 16.453s, Tokens: [P:3276, C:436, T:3712])
Q: 세탁망 지퍼 손잡이 고장 났는데 고치는 거 있나요? -> Keyword: <One Standard Keyword> (Latency: 76.687s, Tokens: [P:3281, C:1065, T:4346])
Q: 행거 바퀴 빠졌는데 맞는 거 있을까요? -> Keyword:  (Latency: 54.088s, Tokens: [P:3276, C:74, T:3350])
Q: 서랍장 손잡이만 예쁜 걸로 바꾸고 싶어요. -> Keyword: 가방 수납정리함 (Latency: 24.489s, Tokens: [P:3280, C:989, T:4269])
Q: 의자 발 커버 씌우는 거 말고 끼우는 부품 있어요? -> Keyword: 자동디스펜서 (Latency: 45.107s, Tokens: [P:3283, C:267, T:3550])
Q: 선반 높이 조절하는 나사 부품 어디 있나요? -> Keyword:  (Latency: 19.332s, Tokens: [P:3277, C:264, T:3541])
Q: 멀티탭 덮개만 따로 파나요? -> Keyword: ** '배수구덮개' (Latency: 27.155s, Tokens: [P:3276, C:91, T:3367])
Q: 형광등 스타터 전구 어디 있어요? -> Keyword: <One Standard Keyword> (Latency: 22.403s, Tokens: [P:3276, C:905, T:4181])
Q: LED 등 리모컨만 잃어버렸는데 따로 파나요? -> Keyword: 수납정리함 (Latency: 28.474s, Tokens: [P:3279, C:551, T:3830])
Q: 스위치 커버만 바꾸고 싶은데 있나요? -> Keyword: ** 가루방수파우치 (Latency: 37.576s, Tokens: [P:3277, C:62, T:3339])
Q: 문 손잡이 부속품 중에 잠금장치만 필요해요. -> Keyword: **自动 디스펜서 (Latency: 6.045s, Tokens: [P:3279, C:180, T:3459])
Q: 경첩 나사 헐거워서 바꾸려는데 나사만 있어요? -> Keyword: 나사 (Latency: 41.160s, Tokens: [P:3282, C:802, T:4084])
Q: 창문 방충망 롤러 부품 어디 있나요? -> Keyword: 방격망정리함 (Latency: 71.561s, Tokens: [P:3276, C:1423, T:4699])
Q: 싱크대 배수구 뚜껑만 잃어버렸어요. -> Keyword:  (Latency: 39.622s, Tokens: [P:3281, C:757, T:4038])
Q: 음식물 쓰레기통 거름망만 따로 파나요? -> Keyword: ** 4가지 pattern에서 patterns의 matching이 모두 same인 경우, **'space 정리 patterns'**를 use합니다. (Latency: 38.404s, Tokens: [P:3278, C:1218, T:4496])
Q: 주방세제 펌프 머리 부분만 고장 나서요. -> Keyword: 펌프보조 (Latency: 32.595s, Tokens: [P:3279, C:126, T:3405])
Q: 고무장갑 속에 끼는 면장갑만 따로 있나요? -> Keyword: face mask (Latency: 52.589s, Tokens: [P:3280, C:1706, T:4986])
Q: 프라이팬 뚜껑 손잡이 나사만 구할 수 있을까요? -> Keyword: 물때방수제 (Latency: 48.543s, Tokens: [P:3283, C:32, T:3315])
Q: 냄비 손잡이 뜨거워서 끼우는 실리콘만 있어요? -> Keyword: 열차단용기 (Latency: 8.474s, Tokens: [P:3284, C:163, T:3447])
Q: 밀폐용기 고무 패킹만 따로 파나요? -> Keyword: milfoil분할함 (Latency: 52.668s, Tokens: [P:3276, C:1118, T:4394])
Q: 보온병 뚜껑 고무링 잃어버렸는데 있나요? -> Keyword: 고무 Ring (Latency: 77.375s, Tokens: [P:3282, C:1351, T:4633])
Q: 물병 빨대 부분만 리필로 나오나요? -> Keyword: <One Standard Keyword> (Latency: 38.877s, Tokens: [P:3274, C:931, T:4205])
Q: 텀블러 바닥에 끼우는 고무만 따로 있어요? -> Keyword: 고무 (Latency: 38.968s, Tokens: [P:3281, C:85, T:3366])
Q: 와인 오프너 스크류 부분만 따로 있나요? -> Keyword: ** automatically (Latency: 17.060s, Tokens: [P:3279, C:71, T:3350])
Q: 칼 갈이 숫돌만 교체할 수 있나요? -> Keyword: <One Standard Keyword> (Latency: 16.765s, Tokens: [P:3277, C:486, T:3763])
Q: 도마 거치대 물기 받침대만 따로 파나요? -> Keyword: ** 자동청소기 (Latency: 32.092s, Tokens: [P:3278, C:208, T:3486])
Q: 일회용 수세미 다 썼는데 리필만 주세요. -> Keyword: ** 수세미 (Latency: 39.093s, Tokens: [P:3278, C:48, T:3326])
Q: 정수기 필터 교체용 어디 있나요? -> Keyword: <One Standard Keyword> (Latency: 53.992s, Tokens: [P:3274, C:1307, T:4581])
Q: 커피 그라인더 손잡이만 따로 구할 수 있어요? -> Keyword:  (Latency: 42.705s, Tokens: [P:3281, C:1260, T:4541])
Q: 욕실 슬리퍼 바닥만 닳았는데 밑창만 붙이는 거 있나요? -> Keyword: 닳지 않는底단 (Latency: 17.692s, Tokens: [P:3284, C:596, T:3880])
Q: 샤워기 줄 말고 헤드만 따로 파나요? -> Keyword:  (Latency: 28.139s, Tokens: [P:3276, C:120, T:3396])
Q: 변기 솔 머리만 교체해서 쓰고 싶은데요. -> Keyword: 변기솔 (Latency: 19.074s, Tokens: [P:3278, C:154, T:3432])
Q: 칫솔 걸이 흡착판만 자꾸 떨어져서 그것만 사고 싶어요. -> Keyword: 자동디스펜서 (Latency: 7.466s, Tokens: [P:3284, C:153, T:3437])
Q: 비누 받침대 물 빠지는 구멍 마개만 있나요? -> Keyword: <One Standard Keyword> (Latency: 39.058s, Tokens: [P:3279, C:867, T:4146])
Q: 휴지 걸이 봉만 잃어버렸는데 따로 파나요? -> Keyword: <One Standard Keyword> (Latency: 43.355s, Tokens: [P:3279, C:999, T:4278])
