Q: 샤프심만 따로 파나요? -> Keyword: 샤프심 (Latency: 3.771s, Tokens: [P:3159, C:63, T:3222])
Q: 볼펜 다 썼는데 심만 갈아낄 수 있어요? -> Keyword: 볼펜심 (Latency: 2.264s, Tokens: [P:3166, C:39, T:3205])
Q: 커터칼 날만 리필용으로 어디 있나요? -> Keyword: 커터칼 리필날 (Latency: 2.561s, Tokens: [P:3162, C:73, T:3235])
Q: 스테이플러 심 다 떨어졌는데 어디 있어요? -> Keyword: 스테이플러 심 (Latency: 3.580s, Tokens: [P:3163, C:69, T:3232])
Q: 테이프 커터기는 있는데 리필 테이프만 필요해요. -> Keyword: 리필테이프 (Latency: 2.034s, Tokens: [P:3166, C:53, T:3219])
Q: 수정테이프 리필은 어디에 있나요? -> Keyword: 수정테이프 리필 (Latency: 2.612s, Tokens: [P:3162, C:48, T:3210])
Q: 글루건 심만 따로 묶어서 파나요? -> Keyword: 분할케이스 (Latency: 1.698s, Tokens: [P:3162, C:52, T:3214])
Q: 화이트 보드 지우개 패드만 교체할 수 있어요? -> Keyword: 화이트보드지우개패드 (Latency: 2.458s, Tokens: [P:3165, C:86, T:3251])
Q: 만년필 잉크 카트리지 어디 있어요? -> Keyword: 잉크 카트리지 (Latency: 1.745s, Tokens: [P:3162, C:57, T:3219])
Q: 프린터 잉크 충전하는 키트 있나요? -> Keyword: 잉크충전키트 (Latency: 3.633s, Tokens: [P:3163, C:86, T:3249])
Q: 다이어리 속지 리필용 찾고 있어요. -> Keyword: 다이어리 리필 속지 (Latency: 1.593s, Tokens: [P:3162, C:63, T:3225])
Q: 바인더 링만 따로 구할 수 있나요? -> Keyword: 바인더링 (Latency: 2.970s, Tokens: [P:3162, C:55, T:3217])
Q: 연필 깍지 짧아진 거 끼우는 거 어디 있어요? -> Keyword: 연필꽂이 (Latency: 6.585s, Tokens: [P:3168, C:66, T:3234])
Q: 지우개 리필 되는 샤프 있나요? -> Keyword: 리필샤프 (Latency: 4.893s, Tokens: [P:3161, C:36, T:3197])
Q: 스탬프 잉크만 따로 파나요? -> Keyword: 스탬프 잉크 (Latency: 5.353s, Tokens: [P:3162, C:54, T:3216])
Q: 마스킹 테이프 보관하는 커팅기 칼날만 교체 돼요? -> Keyword: 테이프커팅기 (Latency: 3.922s, Tokens: [P:3171, C:39, T:3210])
Q: 큐브 포스트잇 리필용만 따로 있나요? -> Keyword: 포스트잇 리필 (Latency: 2.493s, Tokens: [P:3164, C:45, T:3209])
Q: 파일철 비닐 속지만 더 살 수 있어요? -> Keyword: 파일철 속지 (Latency: 2.871s, Tokens: [P:3162, C:36, T:3198])
Q: 명찰 케이스 줄만 따로 파나요? -> Keyword: 명찰케이스 (Latency: 1.243s, Tokens: [P:3161, C:28, T:3189])
Q: 화분 받침대 바퀴만 따로 있나요? -> Keyword: 화분받침대 (Latency: 2.444s, Tokens: [P:3163, C:54, T:3217])
Q: 분무기 헤드 부분만 교체하고 싶어요. -> Keyword: 분무기 헤드 교체용 부품 (Latency: 3.099s, Tokens: [P:3162, C:76, T:3238])
Q: 물조리개 앞부분 물 나오는 곳만 따로 파나요? -> Keyword: 물조리개 (Latency: 2.000s, Tokens: [P:3165, C:59, T:3224])
Q: 삽 자루 부러졌는데 자루만 갈 수 있어요? -> Keyword: 삽 자루 (Latency: 1.366s, Tokens: [P:3165, C:61, T:3226])
