Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 수건 (Latency: 0.757s, Tokens: [P:121, C:3, T:124])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: 테이프 (Latency: 0.673s, Tokens: [P:122, C:4, T:126])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 아이스팩 (Latency: 0.678s, Tokens: [P:117, C:4, T:121])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword: 컵 (Latency: 0.665s, Tokens: [P:121, C:2, T:123])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: 미끄럼 방지 패드 (Latency: 0.761s, Tokens: [P:124, C:8, T:132])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: 수세미 (Latency: 0.650s, Tokens: [P:118, C:4, T:122])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: 미끄럼 방지 제품 (Latency: 0.666s, Tokens: [P:122, C:7, T:129])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: 의자 (Latency: 0.673s, Tokens: [P:118, C:3, T:121])
Q: 물 안 새는 거 있어요? -> Keyword: 물통 (Latency: 0.763s, Tokens: [P:115, C:3, T:118])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 방향제 (Latency: 0.666s, Tokens: [P:116, C:4, T:120])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 수세미 (Latency: 0.660s, Tokens: [P:117, C:4, T:121])
Q: 금방 마르는 재질 있어요? -> Keyword: 수건 (Latency: 0.780s, Tokens: [P:116, C:3, T:119])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: 소음방지 용품 (Latency: 0.765s, Tokens: [P:118, C:7, T:125])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword: 장난감 (Latency: 0.664s, Tokens: [P:118, C:4, T:122])
Q: 열기 차단해주는 거 있어요? -> Keyword: 단열 시트 (Latency: 0.676s, Tokens: [P:117, C:5, T:122])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 머리끈 (Latency: 0.668s, Tokens: [P:118, C:4, T:122])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 바닥긁힘방지패드 (Latency: 0.734s, Tokens: [P:119, C:9, T:128])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 크레파스 (Latency: 0.704s, Tokens: [P:119, C:5, T:124])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 쿨매트 (Latency: 0.664s, Tokens: [P:120, C:4, T:124])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 수면양말 (Latency: 0.767s, Tokens: [P:120, C:5, T:125])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 흡수패드 (Latency: 0.675s, Tokens: [P:116, C:5, T:121])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: 물튀김방지 (Latency: 0.762s, Tokens: [P:119, C:6, T:125])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword: 도시락 (Latency: 0.772s, Tokens: [P:119, C:3, T:122])
Q: 공간 적게 차지하는 거 있어요? -> Keyword: 수납함 (Latency: 0.792s, Tokens: [P:117, C:4, T:121])
Q: 고정 잘 되는 거 있어요? -> Keyword: 머리끈 (Latency: 0.682s, Tokens: [P:115, C:4, T:119])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: 스마트폰 (Latency: 0.672s, Tokens: [P:118, C:4, T:122])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 뚜껑 (Latency: 0.672s, Tokens: [P:118, C:3, T:121])
