Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 행주 (Latency: 9.665s, Tokens: [P:122, C:2, T:1757])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: 점착제 (Latency: 18.007s, Tokens: [P:123, C:3, T:3571])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 내열 용기 (Latency: 5.831s, Tokens: [P:118, C:4, T:1067])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword: 깨짐 방지 용품 (Latency: 21.799s, Tokens: [P:122, C:6, T:4219])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: 미끄럼 방지 (Latency: 3.858s, Tokens: [P:125, C:5, T:753])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: 봉투 (Latency: 7.491s, Tokens: [P:119, C:2, T:1310])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: 손잡이 (Latency: 4.702s, Tokens: [P:123, C:3, T:821])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: 가방 (Latency: 16.872s, Tokens: [P:119, C:2, T:3254])
Q: 물 안 새는 거 있어요? -> Keyword: 밀폐용기 (Latency: 11.254s, Tokens: [P:116, C:4, T:1870])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 탈취제 (Latency: 3.353s, Tokens: [P:117, C:3, T:657])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 주방용품 (Latency: 10.213s, Tokens: [P:118, C:4, T:1906])
Q: 금방 마르는 재질 있어요? -> Keyword: 수건 (Latency: 4.210s, Tokens: [P:117, C:2, T:859])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: 방음 (Latency: 4.577s, Tokens: [P:119, C:2, T:919])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword: 유아용품 (Latency: 9.268s, Tokens: [P:119, C:4, T:1809])
Q: 열기 차단해주는 거 있어요? -> Keyword: 열차단 (Latency: 1.931s, Tokens: [P:118, C:3, T:323])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 빗 (Latency: 8.396s, Tokens: [P:119, C:1, T:1657])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 긁힘 방지 패드 (Latency: 9.437s, Tokens: [P:120, C:6, T:1642])
