Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 발매트 (Latency: 1.240s, Tokens: [P:1906, C:24, T:1930])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: 몬스터클리어젤 (Latency: 1.471s, Tokens: [P:1907, C:113, T:2020])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 내열유리 (Latency: 1.008s, Tokens: [P:1902, C:32, T:1934])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword: 멜라민식기 (Latency: 1.153s, Tokens: [P:1906, C:35, T:1941])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.000s, Tokens: [P:1909, C:30, T:1939])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: 스타킹 (Latency: 0.983s, Tokens: [P:1903, C:27, T:1930])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.197s, Tokens: [P:1907, C:50, T:1957])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: 접이식바구니 (Latency: 1.155s, Tokens: [P:1903, C:39, T:1942])
Q: 물 안 새는 거 있어요? -> Keyword: 방수테이프 (Latency: 1.000s, Tokens: [P:1900, C:44, T:1944])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 방향제 (Latency: 1.160s, Tokens: [P:1901, C:57, T:1958])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 수세미 (Latency: 1.165s, Tokens: [P:1902, C:52, T:1954])
Q: 금방 마르는 재질 있어요? -> Keyword: 스포츠타월 (Latency: 1.002s, Tokens: [P:1901, C:44, T:1945])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: 소음방지패드 (Latency: 1.167s, Tokens: [P:1903, C:57, T:1960])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword: 유아용품 (Latency: 1.005s, Tokens: [P:1903, C:41, T:1944])
