Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 방수비닐 (Latency: 1.134s, Tokens: [P:2538, C:30, T:2568])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: 몬스터클리어젤 (Latency: 0.865s, Tokens: [P:2539, C:26, T:2565])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.071s, Tokens: [P:2534, C:32, T:2566])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword: 멜라민식기 (Latency: 0.957s, Tokens: [P:2538, C:28, T:2566])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.855s, Tokens: [P:2541, C:31, T:2572])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: 스타킹 (Latency: 0.859s, Tokens: [P:2535, C:30, T:2565])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: 미끄럼방지테이프 (Latency: 0.979s, Tokens: [P:2539, C:38, T:2577])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: 접이식의자 (Latency: 0.974s, Tokens: [P:2535, C:30, T:2565])
Q: 물 안 새는 거 있어요? -> Keyword: 방수팩 (Latency: 0.962s, Tokens: [P:2532, C:29, T:2561])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 탈취제 (Latency: 0.878s, Tokens: [P:2533, C:26, T:2559])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 실리콘용기 (Latency: 1.053s, Tokens: [P:2534, C:30, T:2564])
Q: 금방 마르는 재질 있어요? -> Keyword: 스포츠타월 (Latency: 1.054s, Tokens: [P:2533, C:32, T:2565])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.870s, Tokens: [P:2535, C:25, T:2560])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword: 유아식기 (Latency: 0.950s, Tokens: [P:2535, C:30, T:2565])
Q: 열기 차단해주는 거 있어요? -> Keyword: 단열시트 (Latency: 0.861s, Tokens: [P:2534, C:24, T:2558])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 0.959s, Tokens: [P:2535, C:30, T:2565])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 의자발커버 (Latency: 0.852s, Tokens: [P:2536, C:28, T:2564])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 청소솔 (Latency: 0.968s, Tokens: [P:2536, C:31, T:2567])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 쿨매트 (Latency: 0.947s, Tokens: [P:2537, C:32, T:2569])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 수면양말 (Latency: 0.961s, Tokens: [P:2537, C:33, T:2570])
