Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 제습제 (Latency: 1.088s, Tokens: [P:3083, C:34, T:3117])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: 몬스터클리어젤 (Latency: 0.885s, Tokens: [P:3084, C:28, T:3112])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 냄비받침 (Latency: 0.968s, Tokens: [P:3079, C:38, T:3117])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword: 멜라민식기 (Latency: 0.976s, Tokens: [P:3083, C:28, T:3111])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: 미끄럼방지테이프 (Latency: 0.984s, Tokens: [P:3086, C:32, T:3118])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: 압축팩 (Latency: 0.954s, Tokens: [P:3080, C:32, T:3112])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: 미끄럼방지테이프 (Latency: 1.006s, Tokens: [P:3084, C:39, T:3123])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: 접이식의자 (Latency: 0.980s, Tokens: [P:3080, C:32, T:3112])
Q: 물 안 새는 거 있어요? -> Keyword: 방수테이프 (Latency: 0.973s, Tokens: [P:3077, C:30, T:3107])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 탈취제 (Latency: 0.884s, Tokens: [P:3078, C:26, T:3104])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 실리콘용기 (Latency: 0.889s, Tokens: [P:3079, C:29, T:3108])
Q: 금방 마르는 재질 있어요? -> Keyword: 규조토발매트 (Latency: 0.957s, Tokens: [P:3078, C:39, T:3117])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.832s, Tokens: [P:3080, C:25, T:3105])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword: 유아식기 (Latency: 1.047s, Tokens: [P:3080, C:35, T:3115])
Q: 열기 차단해주는 거 있어요? -> Keyword: 냄비받침 (Latency: 1.089s, Tokens: [P:3079, C:28, T:3107])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 케이블정리용품 (Latency: 0.873s, Tokens: [P:3080, C:30, T:3110])
