[2026-01-21 18:20:40.458413] [be569b17-4631-4784-9a5b-d2e6176e797d] Analyzing: 화장실 변기 닦아도 냄새가 안 없어져요. | History: 0 turns
[2026-01-21 18:20:45.240591] [e2e312a8-173c-4279-8cae-f37dc123c38e] Analyzing: 문 닫을 때마다 쾅쾅 소리 나서 시끄러워요. | History: 0 turns
[2026-01-21 18:20:47.351905] [4742749a-96c3-41ee-9246-a3ed8004d8f0] Analyzing: 바닥 긁히는 소리 안 나게 의자에 끼우는 거 있어요? | History: 0 turns
[2026-01-21 18:20:49.641915] [bde8b7df-1778-432f-aa9c-bd3db5dccb45] Analyzing: 싱크대 배수구가 꽉 막혀서 물이 안 내려가요. | History: 0 turns
[2026-01-21 18:20:51.942760] [9c73a428-24a6-4a5e-a9a1-f132b398ce1a] Analyzing: 새로 산 그릇에 스티커 끈끈이가 남아서 안 떼져요. | History: 0 turns
[2026-01-21 18:20:54.140797] [d4cfbe76-35e9-42a6-988c-7649061ec1b1] Analyzing: 장마철이라 옷장에서 꿉꿉한 냄새가 나요. | History: 0 turns
[2026-01-21 18:20:56.554522] [f54b2ce2-2dd6-43b2-9440-5e7df5636e61] Analyzing: 초파리가 자꾸 꼬이는데 잡는 트랩 같은 거 있나요? | History: 0 turns
[2026-01-21 18:20:58.638928] [46911382-15cc-4ac1-85ff-a20f989e672d] Analyzing: 욕실 타일 틈새에 검은 곰팡이가 꼈어요. | History: 0 turns
[2026-01-21 18:21:00.954574] [7c92f7b6-5619-4969-a46c-30fb7acac444] Analyzing: 와이셔츠 목 때가 세탁기로 빨아도 잘 안 지워져요. | History: 0 turns
[2026-01-21 18:21:03.253710] [a3b6e6cc-053b-4dec-b2d8-5f58e13b719f] Analyzing: 강아지 털이 옷에 너무 많이 붙어서 떼고 싶어요. | History: 0 turns
[2026-01-21 18:21:05.190507] [d0e8379f-96cd-4fbe-91be-f3b2f8ff3454] Analyzing: 책상 밑에 전선들이 너무 지저분하게 엉켜 있어요. | History: 0 turns
[2026-01-21 18:21:07.553018] [7041cd36-ac16-46c0-ba33-849fd836a368] Analyzing: 방충망에 구멍이 났는데 전체 갈기는 좀 그렇고... | History: 0 turns
[2026-01-21 18:21:09.855327] [4a13ad58-03e0-41f7-b358-1d23a592deb3] Analyzing: 요리하다가 기름이 벽에 너무 많이 튀어요. | History: 0 turns
[2026-01-21 18:21:12.036337] [90e2bda6-c0b6-4b51-895e-956acaf5afeb] Analyzing: 신발장 열 때마다 발 냄새가 너무 심해요. | History: 0 turns
[2026-01-21 18:21:14.141280] [65dfd573-83bb-4b23-8a4b-35147242bb05] Analyzing: 유리에 테이프 자국 남은 거 긁어내고 싶어요. | History: 0 turns
[2026-01-21 18:21:16.367456] [294c3285-739a-4507-a4b2-068f69759c5f] Analyzing: 바지 허리가 너무 커서 줄이고 싶은데 바느질은 못해요. | History: 0 turns
[2026-01-21 18:21:19.054496] [872c3326-f80c-4c7c-9a96-62603903f9b9] Analyzing: 가구 모서리에 애기가 찧을까 봐 걱정돼요. | History: 0 turns
[2026-01-21 18:21:21.140380] [dc9968ae-d14b-4a37-b9f1-b9e37c6499c0] Analyzing: 화장실 거울에 김이 너무 서려서 안 보여요. | History: 0 turns
[2026-01-21 18:21:23.452750] [7d046e21-bef8-4fcc-a5bb-ac0d38a7fe1a] Analyzing: 검은 옷에 먼지가 너무 잘 붙어요. | History: 0 turns
[2026-01-21 18:21:25.453213] [bd7f351c-7cf0-4c29-baa2-65321de92725] Analyzing: 냉장고 안에 김치 국물이 흘러서 굳었어요. | History: 0 turns
[2026-01-21 18:21:27.463156] [baf84a9e-cd05-4fc2-91c1-cfa5f05571b3] Analyzing: 벽에 못 안 박고 액자 걸 수 있는 핀 같은 거요. | History: 0 turns
[2026-01-21 18:21:29.611342] [8e15cc6a-0fb7-4c03-ba7c-892e9899ef1e] Analyzing: 물만 묻혀서 닦으면 때 지워지는 하얀 스펀지 주세요. | History: 0 turns
[2026-01-21 18:21:31.761313] [6e97cb06-26d8-40bf-847f-6d5f2bebce06] Analyzing: 치약 끝까지 짜서 쓰게 해주는 플라스틱 있나요? | History: 0 turns
[2026-01-21 18:21:33.783308] [db4fa030-c966-452e-a31b-9fe81b431ca3] Analyzing: 전자레인지 안에 넣고 돌려도 되는 밥 보관 용기요. | History: 0 turns
[2026-01-21 18:21:35.704625] [d611a5dc-32cc-470c-90ed-09540a23fdc3] Analyzing: 그물처럼 생겨서 설거지하고 수세미 말리는 거. | History: 0 turns
[2026-01-21 18:21:37.901888] [bb04af71-dc7c-42fe-8b02-0e907413c7a3] Analyzing: 방 문 뒤에 걸어서 옷 걸 수 있게 하는 거요. | History: 0 turns
[2026-01-21 18:21:39.926661] [627c1924-b57b-477c-b01b-2df9a514ff59] Analyzing: 주방 서랍 안에 숟가락 젓가락 칸 나눠주는 통. | History: 0 turns
[2026-01-21 18:21:42.036564] [a0723c8e-5285-42a8-a218-71aa2c7f0b34] Analyzing: 여행 갈 때 샴푸랑 린스 조금씩 덜어가는 공병. | History: 0 turns
[2026-01-21 18:21:44.136858] [a6743b68-f7a2-47ae-8535-a784d88f7c74] Analyzing: 핸드폰 뒤에 붙여서 손가락 끼우는 동그란 거. | History: 0 turns
[2026-01-21 18:21:46.414412] [759292c4-f453-43f3-ad4f-419ffc140542] Analyzing: 비누가 물러서 자꾸 녹는데 안 닿게 해주는 받침대. | History: 0 turns
[2026-01-21 18:21:48.367712] [527dfeee-e97d-4634-bee5-7aef53e0e0c8] Analyzing: 화분 흙 안 쏟아지게 바닥에 까는 망 같은 거. | History: 0 turns
[2026-01-21 18:21:50.421637] [d248df3b-2f07-49c9-93ec-b796b68bb108] Analyzing: 머리카락 배수구에 안 들어가게 걸러주는 스티커. | History: 0 turns
[2026-01-21 18:21:52.733061] [5bb5d188-fca2-44ed-aa36-0d577f1485cb] Analyzing: 책상 위에 놓고 쓰는 아주 작은 빗자루 세트. | History: 0 turns
[2026-01-21 18:21:54.928626] [6ff0e1fb-a790-4f84-9fe2-39fd43c2d528] Analyzing: 운동화 끈 안 묶고 그냥 당겨서 조이는 끈. | History: 0 turns
[2026-01-21 18:21:57.240455] [2fffbb42-5d68-4e16-8af7-fc95c1e70848] Analyzing: 의자 밑에 붙여서 잘 미끄러지게 하는 스티커. | History: 0 turns
